,,,,,,,by cancer type,,,,,gene set,,,,,,,
RPS5,CD8.c01(Tn),0.76 ,1.52E-39,8.77E-38,28,76.81%,19,1.00 ,19,1.63 ,0.00E+00,,,,,,,,
RPS4X,CD8.c01(Tn),0.76 ,2.99E-38,1.61E-36,29,75.68%,17,0.89 ,19,1.51 ,0.00E+00,,,,,,,,
RPLP2,CD8.c01(Tn),0.76 ,1.24E-98,7.29E-95,30,74.06%,19,1.00 ,19,1.14 ,1.10E-203,,,,,,,,
RPL18A,CD8.c01(Tn),0.76 ,2.56E-44,2.14E-42,31,74.20%,19,1.00 ,19,1.36 ,4.99E-283,,,,,,,,
RPS27A,CD8.c01(Tn),0.75 ,1.26E-58,3.09E-56,32,74.86%,19,1.00 ,19,1.21 ,1.26E-227,,,,,,,,
RPL39,CD8.c01(Tn),0.75 ,5.20E-44,4.31E-42,33,73.42%,18,0.95 ,19,1.43 ,0.00E+00,,,,,,,,
RPL5,CD8.c01(Tn),0.75 ,1.62E-43,1.27E-41,34,77.04%,19,1.00 ,19,1.57 ,0.00E+00,,,,,,,,
RPS28,CD8.c01(Tn),0.73 ,8.36E-44,6.88E-42,35,73.43%,19,1.00 ,19,1.52 ,0.00E+00,,,,,,,,
EEF1B2,CD8.c01(Tn),0.73 ,2.08E-55,4.02E-53,36,75.38%,19,1.00 ,19,1.48 ,0.00E+00,,,,,,,,
RPS3,CD8.c01(Tn),0.72 ,5.13E-75,6.04E-72,37,73.09%,18,0.95 ,19,1.18 ,6.42E-217,,,,,,TRUE,,
RPL22,CD8.c01(Tn),0.72 ,2.35E-38,1.29E-36,38,75.13%,19,1.00 ,19,1.53 ,0.00E+00,,,,,,,,
RPL18,CD8.c01(Tn),0.71 ,1.46E-33,5.65E-32,39,73.98%,19,1.00 ,19,1.54 ,0.00E+00,,,,,,,,
RPL9,CD8.c01(Tn),0.71 ,8.46E-44,6.91E-42,40,72.62%,19,1.00 ,19,1.36 ,4.19E-284,,,,,TRUE,,,
NELL2,CD8.c01(Tn),0.71 ,3.29E-20,4.35E-19,41,43.80%,16,0.84 ,19,1.66 ,0.00E+00,,,,TRUE,TRUE,,,
NOSIP,CD8.c01(Tn),0.70 ,8.96E-19,1.04E-17,42,53.01%,14,0.74 ,19,1.64 ,1.59E-159,,,,,,TRUE,,
RPL8,CD8.c01(Tn),0.69 ,3.12E-54,5.48E-52,43,73.71%,18,0.95 ,19,1.39 ,1.13E-293,,,,,,,,
RPL37,CD8.c01(Tn),0.69 ,3.99E-35,1.79E-33,44,74.44%,18,0.95 ,19,1.46 ,0.00E+00,,,,,,,,
KLF2,CD8.c01(Tn),0.69 ,5.07E-24,9.22E-23,45,54.69%,18,0.95 ,19,1.48 ,1.53E-287,TRUE,,TRUE,,,,,
PABPC1,CD8.c01(Tn),0.69 ,4.90E-81,1.15E-77,46,74.63%,19,1.00 ,19,1.08 ,4.80E-157,,,,,,,,
LDLRAP1,CD8.c01(Tn),0.69 ,1.63E-24,3.07E-23,47,30.30%,17,0.89 ,19,1.56 ,0.00E+00,,,,,,,,
RPS25,CD8.c01(Tn),0.68 ,8.75E-50,1.20E-47,48,71.60%,19,1.00 ,19,1.13 ,1.36E-201,,,,,,,,
RPL36,CD8.c01(Tn),0.67 ,8.69E-59,2.18E-56,49,72.89%,19,1.00 ,19,1.13 ,4.72E-200,,,,,,,,
RPL14,CD8.c01(Tn),0.67 ,3.99E-38,2.14E-36,50,74.16%,17,0.89 ,19,1.23 ,7.91E-234,,,,,,,,
RPS2,CD8.c01(Tn),0.67 ,8.47E-29,2.30E-27,51,71.55%,18,0.95 ,19,1.23 ,1.95E-235,,,,,,,,
RPL21,CD8.c01(Tn),0.66 ,4.55E-35,2.03E-33,52,67.97%,17,0.89 ,19,1.30 ,7.66E-105,,,,,,,,
RPLP0,CD8.c01(Tn),0.66 ,4.08E-48,4.66E-46,53,72.60%,19,1.00 ,19,1.41 ,1.48E-302,,,,,,,,
RPL29,CD8.c01(Tn),0.66 ,3.05E-29,8.65E-28,54,74.21%,18,0.95 ,19,1.37 ,5.45E-287,,,,,,,,
RPL35A,CD8.c01(Tn),0.66 ,2.39E-36,1.16E-34,55,72.04%,19,1.00 ,19,1.25 ,1.83E-243,,,,,,,,
PASK,CD8.c01(Tn),0.66 ,2.39E-48,2.87E-46,56,27.14%,18,0.95 ,19,1.13 ,9.17E-202,,TRUE,,,,TRUE,,
RPL12,CD8.c01(Tn),0.65 ,3.90E-25,7.77E-24,57,71.33%,16,0.84 ,19,1.39 ,1.39E-295,,,,,,,,
TMEM123,CD8.c01(Tn),0.65 ,1.37E-61,4.76E-59,58,58.20%,17,0.89 ,19,1.08 ,1.52E-74,,,,,TRUE,,,
LDHB,CD8.c01(Tn),0.65 ,4.60E-22,7.12E-21,59,71.41%,16,0.84 ,19,1.42 ,1.07E-305,,,,,,TRUE,TRUE,
TXK,CD8.c01(Tn),0.65 ,3.44E-19,4.13E-18,60,23.50%,12,0.63 ,19,1.18 ,5.81E-02,TRUE,TRUE,,,,TRUE,,
RPL10A,CD8.c01(Tn),0.64 ,1.66E-42,1.22E-40,61,72.41%,18,0.95 ,19,1.21 ,3.16E-227,,,,,,,,
RPS10,CD8.c01(Tn),0.64 ,3.50E-30,1.07E-28,62,72.31%,19,1.00 ,19,1.35 ,2.22E-281,,,,,TRUE,,,
RPL13A,CD8.c01(Tn),0.64 ,4.94E-46,4.73E-44,63,67.36%,17,0.89 ,19,1.09 ,1.81E-75,,,,,,,,
RPS16,CD8.c01(Tn),0.63 ,1.35E-63,6.10E-61,64,71.13%,19,1.00 ,19,1.06 ,6.82E-178,,,,,,,,
RPL4,CD8.c01(Tn),0.63 ,2.04E-47,2.13E-45,65,72.94%,19,1.00 ,19,1.25 ,1.59E-240,,,,,,,,
SERINC5,CD8.c01(Tn),0.63 ,1.11E-27,2.73E-26,66,27.33%,16,0.84 ,19,1.34 ,2.12E-18,,,,,TRUE,,,
SPINT2,CD8.c01(Tn),0.63 ,4.32E-29,1.21E-27,67,18.10%,14,0.74 ,19,1.27 ,5.86E-02,,,,,TRUE,,,
RPS21,CD8.c01(Tn),0.63 ,3.10E-53,5.14E-51,68,72.10%,18,0.95 ,19,1.30 ,6.53E-260,,,,,,,,
RPL7,CD8.c01(Tn),0.62 ,8.29E-35,3.64E-33,69,68.25%,17,0.89 ,19,1.16 ,9.03E-86,,,,,,,,
BACH2,CD8.c01(Tn),0.61 ,3.15E-22,4.90E-21,70,23.84%,16,0.84 ,19,1.25 ,0.00E+00,TRUE,,,,,,,
MYC,CD8.c01(Tn),0.60 ,1.67E-18,1.87E-17,71,19.44%,14,0.74 ,19,1.47 ,0.00E+00,TRUE,,,,TRUE,,,
RPLP1,CD8.c01(Tn),0.60 ,1.71E-60,5.16E-58,72,66.46%,18,0.95 ,19,1.03 ,1.73E-166,,,,,,,,
RPS9,CD8.c01(Tn),0.59 ,2.95E-48,3.47E-46,73,70.00%,19,1.00 ,19,0.99 ,1.11E-154,,,,,,,,
RPSA,CD8.c01(Tn),0.59 ,9.79E-32,3.39E-30,74,70.77%,18,0.95 ,19,1.26 ,6.43E-247,,,,,,,,
CD55,CD8.c01(Tn),0.58 ,8.15E-25,1.57E-23,75,54.70%,15,0.79 ,19,0.98 ,0.00E+00,,,,TRUE,TRUE,,,
RPS15,CD8.c01(Tn),0.57 ,2.29E-37,1.16E-35,76,67.55%,17,0.89 ,19,1.09 ,1.29E-187,,,,,,,,
EEF1G,CD8.c01(Tn),0.56 ,5.86E-24,1.06E-22,77,59.16%,16,0.84 ,19,1.34 ,2.75E-277,,,,,,,,
SCML1,CD8.c01(Tn),0.56 ,2.70E-26,5.89E-25,78,13.02%,14,0.74 ,19,1.17 ,2.36E-41,TRUE,,,,,,,
RPL31,CD8.c01(Tn),0.56 ,8.00E-33,2.95E-31,79,65.62%,18,0.95 ,19,0.94 ,8.63E-126,,,,,,,,
RPS15A,CD8.c01(Tn),0.55 ,3.08E-21,4.44E-20,80,65.28%,15,0.79 ,19,1.08 ,3.37E-183,,,,,TRUE,,,
S1PR1,CD8.c01(Tn),0.55 ,1.96E-17,1.99E-16,81,34.46%,13,0.68 ,19,1.34 ,2.06E-48,,,,,TRUE,,TRUE,
RASGRP2,CD8.c01(Tn),0.54 ,1.55E-40,9.53E-39,82,30.34%,16,0.84 ,19,0.97 ,7.97E-26,,,,,,,,
C1orf228,CD8.c01(Tn),0.54 ,3.37E-20,4.45E-19,83,17.37%,15,0.79 ,19,1.28 ,1.75E-253,,,,,,,,
RPS27,CD8.c01(Tn),0.52 ,2.95E-31,9.83E-30,84,62.42%,16,0.84 ,19,1.08 ,3.39E-104,,,,,,,,
C1orf162,CD8.c01(Tn),0.51 ,1.56E-44,1.34E-42,85,19.63%,17,0.89 ,19,0.96 ,1.03E-02,,,,,TRUE,,,
EEF2,CD8.c01(Tn),0.51 ,4.30E-34,1.76E-32,86,67.78%,18,0.95 ,19,1.11 ,4.76E-192,,,,,,,,
SATB1,CD8.c01(Tn),0.51 ,3.09E-26,6.68E-25,87,38.93%,17,0.89 ,19,0.96 ,0.00E+00,TRUE,,,,,,,
RPL6,CD8.c01(Tn),0.51 ,2.94E-32,1.06E-30,88,65.35%,17,0.89 ,19,1.14 ,2.72E-204,,,,,,,,
RPL26,CD8.c01(Tn),0.50 ,2.88E-35,1.31E-33,89,64.86%,16,0.84 ,19,0.80 ,4.59E-42,,,,,,,,
EIF3E,CD8.c01(Tn),0.50 ,5.34E-31,1.73E-29,90,64.78%,17,0.89 ,19,1.01 ,1.13E-160,,,,,,,,
NOG,CD8.c01(Tn),0.50 ,4.65E-14,3.50E-13,91,2.82%,10,0.53 ,19,1.23 ,7.71E-02,,,,TRUE,,,,
CD248,CD8.c01(Tn),0.50 ,8.86E-10,4.26E-09,92,8.37%,10,0.53 ,19,1.45 ,1.30690244637927e-319,,,,,TRUE,,,
RPL38,CD8.c01(Tn),0.50 ,6.96E-57,1.58E-54,93,66.29%,18,0.95 ,19,0.91 ,6.73E-76,,,,,,,,
RPL28,CD8.c01(Tn),0.49 ,2.32E-41,1.55E-39,94,63.43%,15,0.79 ,19,0.81 ,4.92E-105,,,,,,,,
THEM4,CD8.c01(Tn),0.49 ,1.21E-40,7.60E-39,95,28.23%,16,0.84 ,19,0.91 ,1.34E-131,,,,,,TRUE,,
PLAC8,CD8.c01(Tn),0.48 ,6.37E-17,6.17E-16,96,30.91%,13,0.68 ,19,0.98 ,9.45E-276,,,,,,,,
IL6R,CD8.c01(Tn),0.48 ,2.41E-31,8.07E-30,97,9.26%,12,0.63 ,19,0.84 ,1.89E-02,,,,,TRUE,,TRUE,
ICAM2,CD8.c01(Tn),0.47 ,1.46E-40,9.16E-39,98,31.43%,14,0.74 ,19,1.28 ,3.97E-44,,,,,TRUE,,,
VIPR1,CD8.c01(Tn),0.47 ,1.28E-18,1.46E-17,99,5.38%,14,0.74 ,19,1.07 ,1.22E-179,,,,,TRUE,,,
FLT3LG,CD8.c01(Tn),0.47 ,1.17E-31,4.01E-30,100,40.76%,13,0.68 ,19,0.98 ,5.62E-87,,,,,TRUE,,,
NACA,CD8.c01(Tn),0.47 ,5.47E-19,6.47E-18,101,66.35%,17,0.89 ,19,1.06 ,1.90E-176,,,,,,,,
RPS29,CD8.c01(Tn),0.46 ,3.48E-35,1.57E-33,102,58.43%,17,0.89 ,19,0.82 ,9.88E-62,,,,,,,,
SH3YL1,CD8.c01(Tn),0.46 ,1.09E-21,1.63E-20,103,17.24%,17,0.89 ,19,1.24 ,9.89E-239,,,,,,,,
FXYD5,CD8.c01(Tn),0.46 ,3.01E-48,3.51E-46,104,64.42%,18,0.95 ,19,0.79 ,8.35E-183,,,,,TRUE,,,
TCEA3,CD8.c01(Tn),0.46 ,1.44E-16,1.37E-15,105,4.41%,13,0.68 ,19,1.26 ,1.24E-246,,,,,,,,
RPS20,CD8.c01(Tn),0.46 ,2.17E-43,1.69E-41,106,62.47%,16,0.84 ,19,0.72 ,2.07E-34,,,,,,,,
RPL7A,CD8.c01(Tn),0.46 ,3.48E-28,8.97E-27,107,62.61%,17,0.89 ,19,0.88 ,7.32E-123,,,,,,,,
RPL24,CD8.c01(Tn),0.45 ,4.33E-34,1.77E-32,108,63.17%,17,0.89 ,19,0.82 ,1.11E-108,,,,,,,,
RPL15,CD8.c01(Tn),0.45 ,1.30E-28,3.47E-27,109,62.60%,16,0.84 ,19,0.88 ,5.04E-124,,,,,,,,
NT5E,CD8.c01(Tn),0.45 ,3.74E-15,3.14E-14,110,9.50%,12,0.63 ,19,1.22 ,7.74E-232,,,,,TRUE,TRUE,,TRUE
RPS19,CD8.c01(Tn),0.45 ,5.39E-36,2.55E-34,111,60.84%,16,0.84 ,19,0.69 ,6.32E-78,,,,,,,,
RPL17,CD8.c01(Tn),0.45 ,1.36E-32,4.96E-31,112,63.05%,16,0.84 ,19,0.86 ,1.37E-118,,,,,,,,
RPL37A,CD8.c01(Tn),0.45 ,3.01E-35,1.36E-33,113,61.91%,17,0.89 ,19,0.66 ,2.70E-40,,,,,,,,
SESN3,CD8.c01(Tn),0.45 ,9.22E-20,1.16E-18,114,23.05%,14,0.74 ,19,1.12 ,6.59E-222,,,,,,,,
RPL23A,CD8.c01(Tn),0.45 ,2.27E-29,6.51E-28,115,58.21%,15,0.79 ,19,0.74 ,1.09E-35,,,,,,,,
AIF1,CD8.c01(Tn),0.45 ,4.81E-10,2.38E-09,116,20.15%,13,0.68 ,19,1.21 ,6.50E-229,,,,,,,,
RPS7,CD8.c01(Tn),0.44 ,1.06E-27,2.61E-26,117,61.84%,17,0.89 ,19,0.82 ,1.35E-107,,,,,,,,
LYPD3,CD8.c01(Tn),0.44 ,3.05E-12,1.90E-11,118,7.98%,13,0.68 ,19,1.17 ,3.89E-37,,,,,TRUE,,,
RPL41,CD8.c01(Tn),0.44 ,2.75E-27,6.52E-26,119,56.29%,14,0.74 ,19,0.83 ,1.77E-45,,,,,,,,
FXYD7,CD8.c01(Tn),0.44 ,7.87E-24,1.42E-22,120,11.91%,15,0.79 ,19,0.86 ,4.85E-215,,,,,TRUE,,,
FOXP1,CD8.c01(Tn),0.43 ,6.13E-49,7.76E-47,121,50.00%,15,0.79 ,19,0.71 ,8.22E-82,TRUE,,,,,,,
ABLIM1,CD8.c01(Tn),0.43 ,8.19E-23,1.33E-21,122,42.55%,14,0.74 ,19,0.80 ,9.51E-02,,,,,,,,
NDFIP1,CD8.c01(Tn),0.43 ,3.35E-18,3.68E-17,123,56.21%,13,0.68 ,19,0.84 ,0.00E+00,,,,,TRUE,,,
RPL27,CD8.c01(Tn),0.43 ,2.96E-39,1.68E-37,124,61.56%,18,0.95 ,19,0.69 ,2.90E-31,,,,,,,,
GPR183,CD8.c01(Tn),0.42 ,1.73E-13,1.23E-12,125,41.89%,12,0.63 ,19,1.03 ,6.36E-29,,,,,TRUE,,,
RPL36A,CD8.c01(Tn),0.42 ,3.20E-25,6.41E-24,126,58.03%,16,0.84 ,19,0.81 ,1.74E-43,,,,,,,,
SORL1,CD8.c01(Tn),0.42 ,2.54E-62,9.97E-60,127,31.95%,17,0.89 ,19,0.72 ,4.02E-03,,,,TRUE,TRUE,,,
VSIG1,CD8.c01(Tn),0.42 ,3.59E-36,1.71E-34,128,5.36%,15,0.79 ,19,0.84 ,1.47E-19,,,,,TRUE,,,
RPL35,CD8.c01(Tn),0.42 ,4.80E-64,2.46E-61,129,61.49%,16,0.84 ,19,0.57 ,1.17E-01,,,,,,,,
S100B,CD8.c01(Tn),0.41 ,2.83E-18,3.13E-17,130,5.43%,13,0.68 ,19,0.95 ,2.33E-128,,,,,,,,
SNHG8,CD8.c01(Tn),0.41 ,4.39E-41,2.87E-39,131,53.17%,19,1.00 ,19,0.83 ,4.34E-111,,,,,,,,
RIC3,CD8.c01(Tn),0.41 ,1.99E-25,4.02E-24,132,16.17%,15,0.79 ,19,0.84 ,1.55E-23,,,,,TRUE,,,
PIK3IP1,CD8.c01(Tn),0.40 ,8.01E-20,1.02E-18,133,52.55%,12,0.63 ,19,1.12 ,1.51E-197,,,,,TRUE,,,
NPM1,CD8.c01(Tn),0.40 ,2.47E-19,3.00E-18,134,62.33%,12,0.63 ,19,0.81 ,4.77E-106,,,,,,,,
CAMK4,CD8.c01(Tn),0.39 ,3.34E-28,8.62E-27,135,49.07%,14,0.74 ,19,0.80 ,1.60E-05,,TRUE,,,TRUE,TRUE,,
RPL27A,CD8.c01(Tn),0.39 ,1.40E-25,2.87E-24,136,56.54%,13,0.68 ,19,0.69 ,8.84E-09,,,,,,,,
TESPA1,CD8.c01(Tn),0.39 ,3.13E-23,5.32E-22,137,24.27%,15,0.79 ,19,0.65 ,5.02E-68,,,,,,,,
FAU,CD8.c01(Tn),0.39 ,7.64E-49,9.37E-47,138,57.93%,17,0.89 ,19,0.62 ,2.41E-62,,,,,,,,
EPHX2,CD8.c01(Tn),0.39 ,1.04E-12,6.81E-12,139,10.95%,11,0.58 ,19,1.02 ,5.15E-165,,,,,,TRUE,,
AQP3,CD8.c01(Tn),0.39 ,2.56E-26,5.58E-25,140,28.58%,14,0.74 ,19,0.76 ,2.62E-54,,,,,TRUE,,,
RPS17,CD8.c01(Tn),0.39 ,1.13E-21,1.69E-20,141,55.23%,13,0.68 ,19,0.83 ,2.54E-45,,,,,,,,
UBA52,CD8.c01(Tn),0.39 ,8.73E-48,9.52E-46,142,61.25%,17,0.89 ,19,0.58 ,2.75E-22,,,,,,,,
PDE3B,CD8.c01(Tn),0.39 ,3.31E-13,2.28E-12,143,42.29%,11,0.58 ,19,0.89 ,0.00E+00,,,,,TRUE,TRUE,TRUE,
BEX2,CD8.c01(Tn),0.39 ,3.34E-28,8.62E-27,144,16.09%,15,0.79 ,19,0.74 ,2.55E-15,,,,,,,,
ITGA6,CD8.c01(Tn),0.38 ,3.08E-32,1.10E-30,145,14.09%,14,0.74 ,19,0.62 ,5.22E-02,,,,,TRUE,,,TRUE
LSR,CD8.c01(Tn),0.37 ,9.79E-19,1.14E-17,146,21.01%,13,0.68 ,19,0.71 ,6.53E-14,,,,,TRUE,,,
DGKA,CD8.c01(Tn),0.37 ,1.66E-19,2.05E-18,147,31.86%,14,0.74 ,19,0.88 ,2.96E-124,,TRUE,,,,TRUE,,
NSG1,CD8.c01(Tn),0.37 ,2.11E-34,8.85E-33,148,13.67%,12,0.63 ,19,0.78 ,9.81E-17,,,,,TRUE,,,
PCSK1N,CD8.c01(Tn),0.36 ,4.21E-25,8.32E-24,149,8.69%,15,0.79 ,19,1.02 ,1.48E-28,,,,TRUE,,,,
RCAN3,CD8.c01(Tn),0.36 ,6.68E-20,8.53E-19,150,35.35%,12,0.63 ,19,0.75 ,1.94E-06,,,,,,,,
PFDN5,CD8.c01(Tn),0.35 ,6.90E-41,4.44E-39,151,59.93%,16,0.84 ,19,0.64 ,1.61E-67,,,,,,,,
TNFRSF25,CD8.c01(Tn),0.35 ,1.61E-28,4.29E-27,152,19.57%,14,0.74 ,19,0.64 ,8.00E-02,,,,TRUE,TRUE,,,
RGS10,CD8.c01(Tn),0.35 ,1.23E-16,1.17E-15,153,53.19%,13,0.68 ,19,0.96 ,1.02E-147,,,,,,,,
EIF4B,CD8.c01(Tn),0.34 ,1.29E-39,7.57E-38,154,56.43%,18,0.95 ,19,0.69 ,6.89E-78,,,,,,,,
RPL23,CD8.c01(Tn),0.34 ,2.18E-22,3.41E-21,155,57.80%,14,0.74 ,19,0.63 ,1.26E-26,,,,,,,,
ZFAS1,CD8.c01(Tn),0.34 ,4.29E-37,2.12E-35,156,54.66%,14,0.74 ,19,0.64 ,7.80E-67,,,,,,,,
HRH2,CD8.c01(Tn),0.34 ,3.86E-19,4.60E-18,157,3.05%,13,0.68 ,19,0.73 ,1.22E-09,,,,,TRUE,,TRUE,
EIF3L,CD8.c01(Tn),0.34 ,2.18E-22,3.41E-21,158,56.60%,16,0.84 ,19,0.87 ,9.08E-123,,,,,TRUE,,,
KLF3,CD8.c01(Tn),0.33 ,1.03E-10,5.48E-10,159,31.64%,12,0.63 ,19,1.20 ,2.37E-39,TRUE,,,,,,,
FAM153A,CD8.c01(Tn),0.33 ,6.41E-14,4.73E-13,160,2.10%,10,0.53 ,19,0.86 ,8.33E-02,,,,,,,,
AK5,CD8.c01(Tn),0.33 ,3.23E-09,1.47E-08,161,3.63%,10,0.53 ,19,0.86 ,1.07E-119,,TRUE,,,,TRUE,,
TMEM63A,CD8.c01(Tn),0.33 ,6.26E-28,1.58E-26,162,14.52%,15,0.79 ,19,0.64 ,1.88E-27,,,,,TRUE,,,
TNFSF8,CD8.c01(Tn),0.33 ,4.62E-24,8.47E-23,163,25.42%,11,0.58 ,19,0.75 ,1.71E-15,,,,,TRUE,,,
MDS2,CD8.c01(Tn),0.33 ,1.08E-08,4.61E-08,164,3.88%,9,0.47 ,19,1.15 ,1.20E-205,,,,,,,,
C6orf48,CD8.c01(Tn),0.32 ,1.08E-29,3.20E-28,165,37.51%,15,0.79 ,19,0.67 ,1.09E-29,,,,,,,,
PRKCA,CD8.c01(Tn),0.32 ,6.66E-16,5.97E-15,166,15.78%,11,0.58 ,19,0.55 ,1.46E-02,,TRUE,,,,TRUE,TRUE,
EIF2S3,CD8.c01(Tn),0.32 ,5.58E-16,5.03E-15,167,47.18%,12,0.63 ,19,0.83 ,7.13E-111,,,,,,,,
ATM,CD8.c01(Tn),0.32 ,1.54E-30,4.84E-29,168,41.63%,14,0.74 ,19,0.54 ,1.48E-47,,TRUE,,,TRUE,TRUE,,TRUE
SMDT1,CD8.c01(Tn),0.32 ,1.14E-17,1.20E-16,169,51.20%,13,0.68 ,19,0.77 ,7.32E-96,,,,,TRUE,,,
SULT1B1,CD8.c01(Tn),0.32 ,1.16E-09,5.49E-09,170,2.74%,8,0.42 ,19,0.94 ,7.97E-02,,,,,,,,
TXNIP,CD8.c01(Tn),0.32 ,1.45E-08,6.11E-08,171,53.54%,11,0.58 ,19,1.14 ,3.32E-205,,,,,,,,
RPS24,CD8.c01(Tn),0.31 ,6.11E-12,3.70E-11,172,54.29%,12,0.63 ,19,0.63 ,1.69E-64,,,,,,,,
CRIP2,CD8.c01(Tn),0.31 ,4.72E-19,5.60E-18,173,7.09%,12,0.63 ,19,0.70 ,1.51E-45,,,,,,,,
EIF3H,CD8.c01(Tn),0.31 ,2.44E-16,2.27E-15,174,57.99%,14,0.74 ,19,0.73 ,1.83E-86,,,,,,,,
AES,CD8.c01(Tn),0.31 ,5.91E-20,7.58E-19,175,55.77%,14,0.74 ,19,0.61 ,5.54E-35,,,,,,,,
IGF1R,CD8.c01(Tn),0.31 ,4.77E-14,3.58E-13,176,3.10%,10,0.53 ,19,0.78 ,2.11E-01,,TRUE,,,TRUE,TRUE,TRUE,
RPS11,CD8.c01(Tn),0.31 ,1.26E-25,2.59E-24,177,57.34%,12,0.63 ,19,0.45 ,1.84E-96,,,,,,,,
TMEM204,CD8.c01(Tn),0.31 ,1.27E-18,1.45E-17,178,14.10%,12,0.63 ,19,0.72 ,1.17E-01,,,,,TRUE,,,
SVIL,CD8.c01(Tn),0.31 ,6.81E-27,1.55E-25,179,6.68%,14,0.74 ,19,0.62 ,1.24E-10,,,,,,,,
PADI4,CD8.c01(Tn),0.30 ,2.11E-13,1.47E-12,180,2.07%,12,0.63 ,19,0.71 ,1.35E-42,,,,,,TRUE,,TRUE
